"","X","Y","pa","grass.perc","dev.perc","wet.perc","wood.perc","ag.perc","precip","tmax","tmin","tmean"
"125",-95.237722,38.970833,1,0.0303246013667426,0.846099088838269,0.0624288154897494,0.0428530751708428,0.0175113895216401,920.577411288871,19.0999372665337,5.9269650496672,12.513389647668
"126",-96.572097,39.182092,1,0.015122470713525,0.811288604898828,0.0386226482073127,0.0392616258430955,0.0942847000354988,868.370301904459,18.9488293430408,5.40864726189838,12.1787015943248
"127",-94.818983,39.009958,1,0.170022053069645,0.500177847335847,0.010244006544782,0.310948281994736,0.00583339261577862,901.421151880144,18.7669611721441,6.91685466170989,12.8419141037009
"128",-95.284722,38.957097,1,0.0258620689655172,0.911726987745797,7.12453690510117e-05,0.0532915360501567,0.00897691650042747,948.807652681317,18.6909770597464,6.41189370505997,12.5514087852113
"129",-94.905851,39.118887,1,0.343033572290439,0.216338987862872,0.00986585279295905,0.352260628859394,0.0774362978209951,910.948225095567,18.6728422860612,6.65655209979532,12.6646696070774
"130",-97.053677,37.047789,1,0.237312887915298,0.344505293902884,0.138152610441767,0.125666301569916,0.146111719605695,766.373285341023,21.7861963844569,7.60575179743387,14.6959292284253
"131",-94.882292,39.171716,1,0.355257556406982,0.260678302823897,0.0286646800056762,0.181921384986519,0.171988080034057,900.518693300542,18.6792719802038,6.63322914258825,12.6561651956143
"132",-95.236252,38.962297,1,0.019945861233794,0.899914517737569,0.034050434534834,0.0321270836301467,0.0136771619888873,952.637516210928,18.8509814817484,6.21950876127586,12.5351772012712
"133",-94.652494,38.88209,1,0.0281599771868539,0.945676195907892,0.001211948385257,0.011406573037713,0.013331432237827,933.667218358081,18.7169698981979,7.09774516072322,12.9072863862452
"134",-95.241853,38.92025,1,0.297201054055979,0.304821593903568,0.044868599102628,0.202763335944733,0.135816537283669,939.00120881679,18.8000302532533,6.19532725766295,12.4976445046462
"135",-94.731339,38.973242,1,0.00370423137199031,0.980624020515743,0.000641116968229092,0.0143182789571164,0.000356176093460607,915.791707276772,18.7207086236342,6.97331844842365,12.8469902730145
"136",-94.748321,38.847632,1,0.200628077938762,0.664620655199486,0.0206266504889016,0.0314752694311612,0.0822211119834416,944.148301109799,18.7199745470587,7.00589668583483,12.8629249472034
"137",-95.552108,38.941168,1,0.57123531505874,0.047063011747953,0.0114631541473834,0.196511213955144,0.173371306514774,894.986908240657,19.1903533299737,6.18766001315198,12.689002152788
"138",-95.242008,38.953729,1,0.00562437704684608,0.985476292182828,7.11946461626086e-05,0.00854335753951303,0.000284778584650434,952.637516210928,18.8509814817484,6.21950876127586,12.5351772012712
"139",-94.805357,38.87866,1,0.0144007984601126,0.977329436087545,0.00092678405931418,0.00556070435588508,0.00149711271119983,930.55844585212,18.7660329597799,6.89541745479571,12.8306935324647
